"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"EEF1A1P5",47.1129914487467,1.6601048422472,0.654237593796371,2.53746476507722,0.0111658607493055,0.0448682179525195,"EEF1A1P5"
"EEF1D",3205.28588993807,-1.1752751726404,0.351467558426069,-3.34390797803212,0.000826071332958089,0.00588461461516661,"EEF1D"
"EEF1DP3",7.44438161437137,-6.91812443485518,2.63967268726143,-2.62082661545151,0.00877168610057038,0.037403475012676,"EEF1DP3"
"EEF2",18138.3025310255,-1.00269731665361,0.358609926796287,-2.79606681725573,0.00517287046033023,0.0246044523159648,"EEF2"
"EFCAB1",51.0947129969185,-2.15948446505225,0.517396538334286,-4.17375128176258,2.99624849543113e-05,0.000403390943621886,"EFCAB1"
"EFCAB7",210.904984855773,1.29437146886492,0.501743753675763,2.57974605440004,0.00988729933503885,0.0409264815115922,"EFCAB7"
"EFCC1",107.708116529729,-3.68894359731064,1.01021141508047,-3.65165503204771,0.000260555731105442,0.0023576621514544,"EFCC1"
"EFEMP2",405.252025212836,-3.73403645255711,0.437886818721228,-8.52740090113174,1.49672449795445e-17,5.85160583621839e-15,"EFEMP2"
"EFHC2",56.3835008558675,1.85329399784615,0.527018348338586,3.51656446817955,0.000437170478963293,0.0035584642781394,"EFHC2"
"EFHD1",120.521847338126,-2.62484908362804,0.834852832068208,-3.14408597875319,0.00166606481081033,0.0102371852889822,"EFHD1"
"EFNA2",56.2490604816239,-3.4091307602628,0.663760870070185,-5.13608275809076,2.80524164631462e-07,7.7577965583727e-06,"EFNA2"
"EFNB1",1309.50524321144,-3.25564875205373,0.526469160646728,-6.18393059919106,6.2524864273375e-10,3.84778786650255e-08,"EFNB1"
"EFR3A",2129.59908781368,1.43098298278082,0.326368566603275,4.38456128809821,1.1621975981322e-05,0.000186278600555932,"EFR3A"
"EFR3B",151.067295419125,-1.14582843427196,0.315952451143647,-3.6265850450738,0.000287194258899942,0.00254844963427055,"EFR3B"
"EFS",275.353827839213,-3.11788068651408,0.651710575450058,-4.78414928952309,1.71713027437636e-06,3.64620453043559e-05,"EFS"
"EGFL8",195.852814595559,-2.38844875013841,0.562618441741494,-4.2452372210647,2.18362280603815e-05,0.000310994679497105,"EGFL8"
"EGLN2",863.245311926235,-1.36273287335775,0.381726719613445,-3.56991743920289,0.000357093755154434,0.0030298265463933,"EGLN2"
"EGLN3",118.612638516351,1.18251708954712,0.412218968198011,2.86866248468966,0.00412211411040473,0.0208394607625152,"EGLN3"
"EGR1",693.512388266203,-3.83821727997918,0.496983772897074,-7.72302334461547,1.13602357835847e-14,2.17799751239323e-12,"EGR1"
"EGR3",274.806715091895,-2.45011195290179,0.676721413008041,-3.62056217788497,0.000293963593698505,0.002594661396527,"EGR3"
"EHBP1L1",4008.22789039512,-2.83884016772376,0.272708451951074,-10.409798990143,2.2369347710811e-25,4.4602242400586e-22,"EHBP1L1"
"EHD1",607.157746357767,-1.25983195049327,0.342575508401105,-3.6775307037367,0.000235502735463469,0.00216991175711927,"EHD1"
"EHD2",1482.57819084951,-2.29695518424061,0.402662214390307,-5.70442197492644,1.16738552194132e-08,5.14966812433361e-07,"EHD2"
"EHD3",290.107660502385,1.05267368331765,0.290211850143691,3.62725947543646,0.000286445400402922,0.00254406897043825,"EHD3"
"EHMT2",374.828823470773,-2.02774208692752,0.473077885357562,-4.286275367522,1.81693746556753e-05,0.000267167523052735,"EHMT2"
"EID2",77.6742100116569,-3.51017099284151,0.935094046249678,-3.75381600056115,0.000174162728888513,0.00170389619907878,"EID2"
"EIF1",2439.29272744011,-1.35964693915958,0.460340335361028,-2.9535689895461,0.00314122387303463,0.0168723055912805,"EIF1"
"EIF1AXP2",12.4017822208779,3.62575503444157,1.27573878654265,2.84208262121405,0.0044819874683377,0.0221621628821566,"EIF1AXP2"
"EIF2AK3",1706.27400189198,1.28435948039131,0.383806369814347,3.34637353989872,0.000818760166157902,0.00585134729499011,"EIF2AK3"
"EIF2B4",380.42635553001,-1.54649958024518,0.427758054260892,-3.61536051709727,0.000299929931805876,0.00263798099262345,"EIF2B4"
"EIF3A",5635.73992214571,-0.884607640373061,0.32301990992746,-2.73855453854753,0.00617099241755403,0.0283170936150405,"EIF3A"
"EIF3B",1753.48660399577,-1.21019075886039,0.319071556644548,-3.79285064324479,0.000148927739038566,0.00150276831411436,"EIF3B"
"EIF3C",3194.51773351049,-1.22965898230191,0.285795301199559,-4.30258642161262,1.68815790049247e-05,0.000251382975189839,"EIF3C"
"EIF3FP3",42.634907017012,2.80603883394238,0.990617654221348,2.83261541118808,0.00461688963016097,0.0226795176979009,"EIF3FP3"
"EIF3G",895.308052840472,-2.14474247104632,0.468141596075383,-4.58139692995998,4.61880231798621e-06,8.59890750871402e-05,"EIF3G"
"EIF4E3",869.611149810783,0.693458327010999,0.256514697154429,2.7033863349885,0.00686369185557112,0.0308997859354781,"EIF4E3"
"EIF4EBP1",96.2953282894563,-1.68662671743641,0.648547530208206,-2.60062160269879,0.00930550326614692,0.0391389564536563,"EIF4EBP1"
"EIF4EBP3",65.4907232782885,-2.95715975770829,1.0663254379748,-2.77322443261282,0.00555038267200062,0.0260091845116382,"EIF4EBP3"
"EIF4G1",3753.04957230957,-0.854236515674082,0.297960805880543,-2.86694256027942,0.00414458227735262,0.0209159266079812,"EIF4G1"
