"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CIAPIN1P",1.02089942032248,2.3307721055408,3.39745006912663,0.686035720354223,0.492690583556121,NA
"CICP10",0.732222348754196,1.83198319819453,3.40503885455744,0.538021231605782,0.590562390803278,NA
"CICP12",0.545360484033652,0.560721418261924,3.42165623013635,0.163874270396702,0.869830122498573,NA
"CICP15",5.00396123214086,0.537390673490213,2.30570954506078,0.233069544531918,NA,NA
"CICP26",0.658813632556123,0.539962044351358,3.41609267187611,0.158064226066447,0.874406189649973,NA
"CICP5",2.30226258405265,0.863914513098701,2.68696174046401,0.321520958072709,0.74781563245636,NA
"CIDEA",36.2375095025429,-1.21714036736203,1.54024674850944,-0.790224273182145,NA,NA
"CIDEC",122.945282754608,0.776756649754296,2.26011197170017,0.343680604979045,NA,NA
"CILP2",132.875488958822,-2.79126768643822,0.944338990648608,-2.95578993780726,NA,NA
"CITED1",1.0628883113763,-0.0130140404514634,3.39223703436396,-0.0038364183633481,0.996938988527821,NA
"CKM",2.40128552557378,0.0765694937511443,2.36263416142546,0.0324085273129832,0.974146262249085,NA
"CKS1BP7",0.922337796595992,0.622666025155629,3.1500155864822,0.197670775924952,0.843302655957905,NA
"CLCA1",1.79447297459109,-0.494485018553212,2.73661586696227,-0.180692155052841,0.856609216790913,NA
"CLCA3P",16.6613043675541,-1.47149060772402,1.78707283985166,-0.823408299264492,NA,NA
"CLCA4",6.85019844077864,-1.56906045870456,1.99125982678048,-0.787973742854773,NA,NA
"CLCN1",2.05372463044889,3.89720506753725,3.06663245844484,1.27084191547155,0.203784893702298,NA
"CLCNKA",1.82343567869616,1.73297849411146,2.42068378011961,0.715904534224553,0.474050298501894,NA
"CLCP2",0.640016247482709,0.492519442451973,3.41703356209611,0.144136553973396,0.885392640192273,NA
"CLDN3",2.26194462371533,-0.754316066875081,2.10120513373842,-0.358992111128634,0.719600990868998,NA
"CLDN6",1.23803845938391,1.85335882777076,3.00318081049458,0.617131949329932,0.537147696719359,NA
"CLEC18B",0.751712165593286,-0.593700707793811,3.43015425517608,-0.173082801421516,0.862586343396745,NA
"CLEC2A",3.97594186193665,0.0736752829617703,1.94588875510898,0.0378620220546185,NA,NA
"CLEC6A",0.839324370423797,2.04254467703225,3.19703414074542,0.638887352186991,0.522896216482231,NA
"CLIC1P1",1.55413031277516,1.9269315019263,2.33359296637293,0.825735905829928,0.408953919430489,NA
"CLK4",763.147573629863,0.986053310705127,0.678588520735666,1.45309459351911,NA,NA
"CLUHP10",2.25854936068676,-1.39773220831563,2.67781850885978,-0.521966744083336,0.601693485521781,NA
"CLUHP4",0.545115671672835,0.203065425577209,3.42347162571673,0.0593156444037112,0.952700700621983,NA
"CMTM4",299.490731807721,0.937087340601763,0.591118558416695,1.58527815995448,NA,NA
"CNBD1",2.38252931659259,1.09796971662991,2.85005848263722,0.385244626844968,0.700056182617803,NA
"CNFN",1.14986038100755,-1.38075398518214,3.11624390727158,-0.443082770883316,0.657705866704697,NA
"CNGA4",2.55727414717706,-1.6423088073866,3.10163761056884,-0.529497321605344,NA,NA
"CNMD",1.87869640581812,1.35561421323939,2.82916837235311,0.47915642861223,0.631827348555313,NA
"CNN2P1",0.654343925484344,2.29797645711607,3.42195469132904,0.671539124389625,0.501877144085058,NA
"CNN2P2",1.02985202127244,2.93671128098334,3.40505493968095,0.862456357681708,0.388436439035812,NA
"CNN2P3",1.59723077012961,3.54754054672772,3.39428545326821,1.04515091484482,0.295953225408894,NA
"CNN3P1",0.676713242893844,2.34378628488673,3.4205001927756,0.685217410552121,0.493206738879776,NA
"CNTN1",118.751173788904,-0.339541337535981,0.875012781342211,-0.388041574678655,NA,NA
"CNTN4",500.212540618041,-3.18661876110385,1.0892162485667,-2.92560707324841,NA,NA
"CNTN6",36.9620105468064,-2.22629084633736,1.38883258301319,-1.60299439512517,NA,NA
"CNTNAP3P1",15.7925991066816,0.192300726566722,1.68409269243376,0.114186545331314,NA,NA
"COASY",255.30861301588,-0.468006625936041,0.810738501659028,-0.577259652746663,NA,NA
"COL21A1",233.687501988813,0.0935294626454771,0.748051179137369,0.125030833790453,NA,NA
"COL6A4P1",0.850841689106907,2.62195584445282,3.41252182754997,0.76833379446404,0.442288902176417,NA
"COMMD4P1",1.27330714155585,-0.565186369632566,3.0302320331489,-0.186515871870461,0.852040233290712,NA
"COPRSP1",5.69172779683336,-1.65292234003644,2.42508247027798,-0.681594279903794,NA,NA
"COPS5P2",0.620724499476182,2.2222296260083,3.42445395785177,0.648929625966514,0.516383864509322,NA
"CORT",2.34055620937546,2.8521322743498,2.59613739882484,1.09860605823129,0.271939934064982,NA
"COX5AP2",1.29451318084663,1.99139674235911,3.38506371135886,0.588289294430949,0.556338130109765,NA
"COX5BP6",1.74009642794462,3.13247894312218,2.57536703642581,1.21632330414136,0.223861787472357,NA
"COX6A1P2",0.6364343279823,0.174375231448879,3.41887761764581,0.0510036482583871,0.959322613444119,NA
"COX6B1P5",1.58741309781511,1.45600633325953,2.82798530517642,0.514856399923443,0.606653370128278,NA
"COX6B1P6",1.69535721160722,-1.56946647951183,3.34516497846792,-0.469174611600364,0.638944831173694,NA
